threshold,exact_match_accuracy,hamming_loss,jaccard_score,binary_precision,binary_recall,binary_f1,binary_support,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_macro,roc_auc_micro,label_accuracy__compute,label_precision__compute,label_recall__compute,label_f1__compute,label_support__compute,label_auc__compute,label_accuracy__data_handling,label_precision__data_handling,label_recall__data_handling,label_f1__data_handling,label_support__data_handling,label_auc__data_handling,label_accuracy__network,label_precision__network,label_recall__network,label_f1__network,label_support__network,label_auc__network,label_accuracy__security_compliance,label_precision__security_compliance,label_recall__security_compliance,label_f1__security_compliance,label_support__security_compliance,label_auc__security_compliance,label_accuracy__management_monitoring,label_precision__management_monitoring,label_recall__management_monitoring,label_f1__management_monitoring,label_support__management_monitoring,label_auc__management_monitoring,label_accuracy__cloud_service_essentials,label_precision__cloud_service_essentials,label_recall__cloud_service_essentials,label_f1__cloud_service_essentials,label_support__cloud_service_essentials,label_auc__cloud_service_essentials,epoch,train_loss,validation_loss,seed,experiment_name,run_timestamp
0.2,0.16845878136200718,0.24313022700119474,0.25906116200878476,0.7362204724409449,0.9444444444444444,0.827433628318584,198,0.3531746031746032,0.6872586872586872,0.46657929226736566,0.32857448107448106,0.5741793462227223,0.39894638830186024,0.34937664777386035,0.6872586872586872,0.44587097712560386,0.7877834733783429,0.8046468477563884,0.8530465949820788,0.46,0.6216216216216216,0.5287356321839081,37,0.8666517757426848,0.9175627240143369,0.14285714285714285,0.05555555555555555,0.08,18,0.7813963388676033,0.8673835125448028,0.3170731707317073,0.5909090909090909,0.4126984126984127,22,0.8307392996108949,0.7168458781362007,0.3269230769230769,0.7906976744186046,0.46258503401360546,43,0.8338588884509263,0.4157706093189964,0.34959349593495936,0.9662921348314607,0.5134328358208955,89,0.7536960378474276,0.7706093189964157,0.375,0.42,0.39622641509433965,50,0.6617467248908298,1,0.4270289790148687,0.36317915552192265,0,no_ambiguity,2026-08-30T23:24:44.420551
0.2,0.43010752688172044,0.12843488649940263,0.4657641430000077,0.8198198198198198,0.9191919191919192,0.8666666666666667,198,0.5614525139664804,0.7760617760617761,0.6515397082658023,0.5671810048941257,0.7433894523546992,0.6340614761846962,0.5681176015497735,0.7760617760617761,0.6496760922644756,0.9067856936690688,0.9136308443728939,0.8566308243727598,0.47368421052631576,0.7297297297297297,0.574468085106383,37,0.8940138485593031,0.953405017921147,0.6666666666666666,0.5555555555555556,0.6060606060606061,18,0.9465730097914007,0.931899641577061,0.5454545454545454,0.8181818181818182,0.6545454545454545,22,0.9632118853908738,0.8566308243727598,0.5211267605633803,0.8604651162790697,0.6491228070175439,43,0.9195900670082775,0.7741935483870968,0.6,0.8764044943820225,0.7123287671232876,89,0.8935541099940862,0.8566308243727598,0.5961538461538461,0.62,0.6078431372549019,50,0.8237554585152839,2,0.3111193747532488,0.2682928517460823,0,no_ambiguity,2026-08-30T23:24:44.420551
0.2,0.5268817204301075,0.11768219832735961,0.4950289404320869,0.8377192982456141,0.9646464646464646,0.8967136150234741,198,0.5901162790697675,0.7837837837837838,0.6733001658374793,0.574725638481758,0.7907108029710591,0.6582292098376413,0.6158202236773773,0.7837837837837838,0.6826991077242154,0.9276691229598537,0.9298852613340245,0.8315412186379928,0.42857142857142855,0.8108108108108109,0.5607476635514018,37,0.9123296850569579,0.9247311827956989,0.45454545454545453,0.8333333333333334,0.5882352941176471,18,0.9512558535547042,0.946236559139785,0.6206896551724138,0.8181818181818182,0.7058823529411765,22,0.9672798019101521,0.899641577060932,0.6530612244897959,0.7441860465116279,0.6956521739130435,43,0.9390027591643674,0.8494623655913979,0.7473684210526316,0.797752808988764,0.7717391304347826,89,0.9031933767001773,0.8422939068100358,0.5441176470588235,0.74,0.6271186440677966,50,0.89117903930131,3,0.21140327951823823,0.2368924468755722,0,no_ambiguity,2026-08-30T23:24:44.420551
0.2,0.5913978494623656,0.09259259259259259,0.5287659191008579,0.8599033816425121,0.898989898989899,0.8790123456790123,198,0.6857142857142857,0.7413127413127413,0.712430426716141,0.6760783654872325,0.7143733195627631,0.6885315458085796,0.6995372968821435,0.7413127413127413,0.7134520465494799,0.9147824714115529,0.9184441382321241,0.9068100358422939,0.6896551724137931,0.5405405405405406,0.6060606060606061,37,0.9022783113692204,0.9498207885304659,0.6,0.6666666666666666,0.631578947368421,18,0.9167730949340145,0.953405017921147,0.7142857142857143,0.6818181818181818,0.6976744186046512,22,0.9350902016271667,0.9139784946236559,0.6938775510204082,0.7906976744186046,0.7391304347826086,43,0.9226448561292865,0.8709677419354839,0.8045977011494253,0.7865168539325843,0.7954545454545454,89,0.8984033116499113,0.8494623655913979,0.5540540540540541,0.82,0.6612903225806451,50,0.914061135371179,4,0.14385918678358348,0.24107959080073568,0,no_ambiguity,2026-08-30T23:24:44.420551
0.2,0.2831541218637993,0.17562724014336917,0.22704514063284784,0.7465437788018433,0.8526315789473684,0.7960687960687961,190,0.4228187919463087,0.5080645161290323,0.46153846153846156,0.3851623277922867,0.3855830390369865,0.3336056971915746,0.42467351463534325,0.5080645161290323,0.41834221778329495,0.7863187607256588,0.7889879201918292,0.8387096774193549,0.37254901960784315,0.59375,0.4578313253012048,32,0.8219888663967612,0.910394265232975,0.0,0.0,0.0,24,0.806045751633987,0.9247311827956989,0.5,0.047619047619047616,0.08695652173913043,21,0.7860834256183094,0.8924731182795699,0.7906976744186046,0.6181818181818182,0.6938775510204082,55,0.8905844155844156,0.5770609318996416,0.375,0.8289473684210527,0.5163934426229508,76,0.7715841327456572,0.8028673835125448,0.2727272727272727,0.225,0.2465753424657534,40,0.6405857740585774,1,0.41902467999795473,0.3590700113111072,1,no_ambiguity,2026-08-30T23:31:49.294407
0.2,0.45161290322580644,0.14755077658303464,0.407635903026428,0.8309178743961353,0.9052631578947369,0.8664987405541562,190,0.5013927576601671,0.7258064516129032,0.5930807248764415,0.4808235339582568,0.7130378028404344,0.5693287889507839,0.5165013651713329,0.7258064516129032,0.5992422113574929,0.8715531379431898,0.8889149662941682,0.8243727598566308,0.36065573770491804,0.6875,0.4731182795698925,32,0.8653846153846154,0.8924731182795699,0.4117647058823529,0.5833333333333334,0.4827586206896552,24,0.875,0.9175627240143369,0.475,0.9047619047619048,0.6229508196721312,21,0.9405684754521964,0.8924731182795699,0.6984126984126984,0.8,0.7457627118644068,55,0.9310876623376623,0.7849462365591398,0.5754716981132075,0.8026315789473685,0.6703296703296703,76,0.8618745138708841,0.8028673835125448,0.36363636363636365,0.5,0.42105263157894735,40,0.7573221757322175,2,0.2899467841242299,0.2835202275051011,1,no_ambiguity,2026-08-30T23:31:49.294407
0.2,0.5053763440860215,0.14097968936678615,0.4402834939367393,0.8264840182648402,0.9526315789473684,0.8850855745721271,190,0.5157068062827225,0.7943548387096774,0.6253968253968254,0.4960202461873981,0.81258449153186,0.6062844744684839,0.5425176475987123,0.7943548387096774,0.6347903524197791,0.9039824138034863,0.9042663891779398,0.8351254480286738,0.3870967741935484,0.75,0.5106382978723404,32,0.8784159919028339,0.8637992831541219,0.36538461538461536,0.7916666666666666,0.5,24,0.9352941176470588,0.899641577060932,0.425531914893617,0.9523809523809523,0.5882352941176471,21,0.9523809523809523,0.8709677419354839,0.6172839506172839,0.9090909090909091,0.7352941176470589,55,0.9353896103896103,0.8136200716845878,0.6463414634146342,0.6973684210526315,0.6708860759493671,76,0.8724397199896292,0.8709677419354839,0.5344827586206896,0.775,0.6326530612244898,40,0.8481171548117155,3,0.1979886596702566,0.2620338863796658,1,no_ambiguity,2026-08-30T23:31:49.294407
0.2,0.48028673835125446,0.13560334528076465,0.4620121882820762,0.8165137614678899,0.9368421052631579,0.8725490196078431,190,0.5287671232876713,0.7782258064516129,0.6296900489396411,0.5345806552691842,0.7966238987620566,0.6248620716045586,0.5779019521597986,0.7782258064516129,0.6494217982823824,0.904547832697753,0.9081148486630773,0.7634408602150538,0.3068181818181818,0.84375,0.45,32,0.878415991902834,0.8888888888888888,0.4186046511627907,0.75,0.5373134328358209,24,0.9383986928104575,0.9354838709677419,0.5405405405405406,0.9523809523809523,0.6896551724137931,21,0.9509043927648578,0.8960573476702509,0.7321428571428571,0.7454545454545455,0.7387387387387387,55,0.9310064935064934,0.8243727598566308,0.651685393258427,0.7631578947368421,0.703030303030303,76,0.8769769250712989,0.8781362007168458,0.5576923076923077,0.725,0.6304347826086957,40,0.8529288702928871,4,0.13413420259350478,0.2722552633947796,1,no_ambiguity,2026-08-30T23:31:49.294407
0.2,0.2616487455197133,0.22640382317801672,0.3099621222407644,0.719047619047619,0.8342541436464088,0.7723785166240409,181,0.3497854077253219,0.6820083682008368,0.4624113475177305,0.38368431133137015,0.6397298061800565,0.466360464488844,0.38362174566210994,0.6820083682008368,0.4741521041824359,0.8170945645241757,0.8202586269735979,0.7885304659498208,0.3382352941176471,0.6216216216216216,0.4380952380952381,37,0.8215322760777306,0.9175627240143369,0.38461538461538464,0.5882352941176471,0.46511627906976744,17,0.8709025594970812,0.8673835125448028,0.5384615384615384,0.525,0.5316455696202531,40,0.8553347280334729,0.8458781362007168,0.5285714285714286,0.7872340425531915,0.6324786324786325,47,0.8971019809244314,0.46236559139784944,0.29,0.8787878787878788,0.43609022556390975,66,0.75871389955897,0.7598566308243727,0.2222222222222222,0.4375,0.29473684210526313,32,0.6995192307692307,1,0.41413419866802714,0.34386363128821057,2,no_ambiguity,2026-08-30T23:38:54.466271
0.2,0.5268817204301075,0.11230585424133811,0.4975579617515102,0.8051282051282052,0.8674033149171271,0.8351063829787234,181,0.580441640378549,0.7698744769874477,0.6618705035971223,0.575745290214024,0.7697477611158775,0.6548435169003258,0.5908319479763755,0.7698744769874477,0.666186975319002,0.9027592521306255,0.9152508273438982,0.8494623655913979,0.44680851063829785,0.5675675675675675,0.5,37,0.8606209515300425,0.9247311827956989,0.4375,0.8235294117647058,0.5714285714285714,17,0.9196228109564436,0.942652329749104,0.75,0.9,0.8181818181818182,40,0.9630753138075314,0.921146953405018,0.7272727272727273,0.851063829787234,0.7843137254901961,47,0.9590058694057226,0.7849462365591398,0.5319148936170213,0.7575757575757576,0.625,66,0.843861146678048,0.9032258064516129,0.5609756097560976,0.71875,0.6301369863013698,32,0.8717105263157895,2,0.2967364377144611,0.2565428175859981,2,no_ambiguity,2026-08-30T23:38:54.466271
