threshold,exact_match_accuracy,hamming_loss,jaccard_score,binary_precision,binary_recall,binary_f1,binary_support,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,roc_auc_macro,roc_auc_micro,label_accuracy__compute,label_precision__compute,label_recall__compute,label_f1__compute,label_support__compute,label_auc__compute,label_accuracy__data_handling,label_precision__data_handling,label_recall__data_handling,label_f1__data_handling,label_support__data_handling,label_auc__data_handling,label_accuracy__network,label_precision__network,label_recall__network,label_f1__network,label_support__network,label_auc__network,label_accuracy__security_compliance,label_precision__security_compliance,label_recall__security_compliance,label_f1__security_compliance,label_support__security_compliance,label_auc__security_compliance,label_accuracy__management_monitoring,label_precision__management_monitoring,label_recall__management_monitoring,label_f1__management_monitoring,label_support__management_monitoring,label_auc__management_monitoring,label_accuracy__cloud_service_essentials,label_precision__cloud_service_essentials,label_recall__cloud_service_essentials,label_f1__cloud_service_essentials,label_support__cloud_service_essentials,label_auc__cloud_service_essentials,epoch,train_loss,validation_loss,seed,experiment_name,run_timestamp
0.2,0.19384615384615383,0.23897435897435898,0.30433433411959393,0.7571428571428571,0.9098712446351931,0.8265107212475633,233,0.3569023569023569,0.7162162162162162,0.4764044943820225,0.3751516919825344,0.642229012817248,0.45944309889070084,0.36450555559336134,0.7162162162162162,0.46981575311659685,0.840831608890878,0.8385282198764665,0.8215384615384616,0.36363636363636365,0.6,0.4528301886792453,40,0.8656140350877193,0.916923076923077,0.5151515151515151,0.6071428571428571,0.5573770491803278,28,0.8653198653198653,0.8830769230769231,0.3076923076923077,0.2857142857142857,0.2962962962962963,28,0.8446368446368446,0.7815384615384615,0.45454545454545453,0.9166666666666666,0.6077348066298343,60,0.9277987421383649,0.4492307692307692,0.31640625,0.9529411764705882,0.4750733137829912,85,0.789656862745098,0.7138461538461538,0.29347826086956524,0.4909090909090909,0.3673469387755102,55,0.7474074074074074,1,0.42016606623756475,0.3370616868847892,0,baseline,2026-08-30T21:52:33.401657
0.2,0.41846153846153844,0.14358974358974358,0.47504092793947866,0.7985347985347986,0.9356223175965666,0.8616600790513834,233,0.5171673819742489,0.8141891891891891,0.6325459317585301,0.5424453551234586,0.8021963330786862,0.638107824375929,0.5467472084257827,0.8141891891891891,0.6421623729520054,0.8989240454369688,0.9047824275303115,0.8430769230769231,0.4225352112676056,0.75,0.5405405405405406,40,0.9018421052631579,0.9046153846153846,0.4666666666666667,0.75,0.5753424657534246,28,0.8902116402116402,0.9353846153846154,0.5813953488372093,0.8928571428571429,0.704225352112676,28,0.9531024531024531,0.9261538461538461,0.8,0.8,0.8,60,0.9331446540880504,0.683076923076923,0.44886363636363635,0.9294117647058824,0.6053639846743295,85,0.8861274509803921,0.8461538461538461,0.5352112676056338,0.6909090909090909,0.6031746031746031,55,0.8291582491582492,2,0.28776075896517983,0.2557860875413531,0,baseline,2026-08-30T21:52:33.401657
0.2,0.5076923076923077,0.11846153846153847,0.5234578828803753,0.8296296296296296,0.9613733905579399,0.8906560636182903,233,0.5733634311512416,0.8581081081081081,0.6874154262516915,0.5683167262952024,0.8686783804430864,0.6829496583072987,0.5857120096593722,0.8581081081081081,0.6922432822156477,0.9291318723693947,0.93480587600902,0.8892307692307693,0.5294117647058824,0.9,0.6666666666666666,40,0.9470175438596491,0.8953846153846153,0.4423076923076923,0.8214285714285714,0.575,28,0.9183501683501682,0.9415384615384615,0.5957446808510638,1.0,0.7466666666666667,28,0.9811207311207312,0.916923076923077,0.7391304347826086,0.85,0.7906976744186046,60,0.9547798742138364,0.8153846153846154,0.6033057851239669,0.8588235294117647,0.7087378640776699,85,0.9204901960784314,0.8307692307692308,0.5,0.7818181818181819,0.6099290780141844,55,0.8528619528619529,3,0.19630177858574638,0.22430840737762905,0,baseline,2026-08-30T21:52:33.401657
0.2,0.5384615384615384,0.1082051282051282,0.5434394651611177,0.8484848484848485,0.9613733905579399,0.9014084507042254,233,0.6019184652278178,0.847972972972973,0.7040673211781207,0.605314258793109,0.8564107461166284,0.7004850953063769,0.6276588001139566,0.847972972972973,0.7118103986639713,0.9303079764198302,0.9324753259910454,0.8892307692307693,0.5263157894736842,1.0,0.6896551724137931,40,0.9656140350877194,0.9230769230769231,0.5384615384615384,0.75,0.6268656716417911,28,0.9069264069264069,0.9415384615384615,0.6046511627906976,0.9285714285714286,0.7323943661971831,28,0.9788359788359788,0.9261538461538461,0.8,0.8,0.8,60,0.9345911949685536,0.8584615384615385,0.693069306930693,0.8235294117647058,0.7526881720430108,85,0.9107843137254902,0.8123076923076923,0.46938775510204084,0.8363636363636363,0.6013071895424836,55,0.8822895622895622,4,0.13868563622236252,0.2349975226180894,0,baseline,2026-08-30T21:52:33.401657
0.2,0.3415384615384615,0.19435897435897437,0.3121112979668727,0.7811158798283262,0.8387096774193549,0.8088888888888889,217,0.39198218262806234,0.624113475177305,0.48153214774281805,0.40708948196470524,0.6005759501229986,0.4660077006786007,0.44203863283402356,0.624113475177305,0.4918466858321367,0.8250960090607293,0.8293662941986837,0.7753846153846153,0.2835820895522388,0.4318181818181818,0.34234234234234234,44,0.7531543189906179,0.9138461538461539,0.36666666666666664,0.55,0.44,20,0.8595081967213115,0.8830769230769231,0.36363636363636365,0.41379310344827586,0.3870967741935484,29,0.8744175209692452,0.8461538461538461,0.5445544554455446,0.9322033898305084,0.6875,59,0.9536128456735058,0.8061538461538461,0.6229508196721312,0.48717948717948717,0.5467625899280576,78,0.7956503685248625,0.6092307692307692,0.2611464968152866,0.7884615384615384,0.3923444976076555,52,0.7157650042265427,1,0.42136208944279574,0.32709736057690214,1,baseline,2026-08-30T22:02:50.987589
0.2,0.37538461538461537,0.1712820512820513,0.4019717127427247,0.726643598615917,0.967741935483871,0.8300395256916996,217,0.4496124031007752,0.8226950354609929,0.581453634085213,0.44597539146466314,0.8001134848008021,0.5707379769603841,0.4476941013192165,0.8226950354609929,0.5778494442197133,0.9092657382794287,0.9089643179073762,0.8215384615384616,0.3870967741935484,0.5454545454545454,0.4528301886792453,44,0.8512617275962471,0.916923076923077,0.40540540540540543,0.75,0.5263157894736842,20,0.9388524590163935,0.9138461538461539,0.5106382978723404,0.8275862068965517,0.631578947368421,29,0.940004659832246,0.7938461538461539,0.4672131147540984,0.9661016949152542,0.6298342541436464,59,0.9608767681916657,0.7107692307692308,0.44805194805194803,0.8846153846153846,0.5948275862068966,78,0.8845634797051801,0.8153846153846154,0.4574468085106383,0.8269230769230769,0.589041095890411,52,0.8816568047337278,2,0.28803904932634583,0.25718679066215244,1,baseline,2026-08-30T22:02:50.987589
0.2,0.4369230769230769,0.13794871794871794,0.46179460101954,0.774074074074074,0.9631336405529954,0.8583162217659137,217,0.5142857142857142,0.8297872340425532,0.6350067842605156,0.5136468652612868,0.8165359479795483,0.6260147666517765,0.5281979862382653,0.8297872340425532,0.6412341571104712,0.9174941301898336,0.9233698147864686,0.8215384615384616,0.40789473684210525,0.7045454545454546,0.5166666666666667,44,0.866467162730508,0.9138461538461539,0.40476190476190477,0.85,0.5483870967741935,20,0.9285245901639344,0.916923076923077,0.5238095238095238,0.7586206896551724,0.6197183098591549,29,0.9312674743709226,0.9076923076923077,0.6790123456790124,0.9322033898305084,0.7857142857142857,59,0.9692876258442717,0.7323076923076923,0.46938775510204084,0.8846153846153846,0.6133333333333333,78,0.9013806706114399,0.88,0.5970149253731343,0.7692307692307693,0.6722689075630253,52,0.9083544660467737,3,0.20070802831444248,0.2323732947309812,1,baseline,2026-08-30T22:02:50.987589
0.2,0.48307692307692307,0.12102564102564102,0.5027457377842712,0.7886792452830189,0.9631336405529954,0.8672199170124482,217,0.5513392857142857,0.875886524822695,0.6767123287671233,0.539456457135485,0.8798893602663327,0.6656848149500757,0.5586935177101234,0.875886524822695,0.6801303251308927,0.9318345075774721,0.9340059867000016,0.8492307692307692,0.46835443037974683,0.8409090909090909,0.6016260162601627,44,0.916612746683921,0.9230769230769231,0.4418604651162791,0.95,0.6031746031746031,20,0.9581967213114753,0.92,0.5319148936170213,0.8620689655172413,0.6578947368421053,29,0.9504892823858341,0.9107692307692308,0.6785714285714286,0.9661016949152542,0.7972027972027972,59,0.965145915636549,0.8061538461538461,0.5619834710743802,0.8717948717948718,0.6834170854271356,78,0.8985778054603966,0.8646153846153846,0.5540540540540541,0.7884615384615384,0.6507936507936508,52,0.9058889828120597,4,0.13414216728816772,0.22069517416613443,1,baseline,2026-08-30T22:02:50.987589
0.2,0.5846153846153846,0.09487179487179487,0.541257040946482,0.8418803418803419,0.9078341013824884,0.8736141906873615,217,0.6397694524495677,0.7872340425531915,0.7058823529411765,0.6314476899297001,0.7933236174177144,0.7003754673665821,0.6450777352691803,0.7872340425531915,0.7067001072904758,0.9280360863052184,0.9301877646818715,0.8861538461538462,0.559322033898305,0.75,0.6407766990291263,44,0.9066645098673568,0.96,0.6296296296296297,0.85,0.723404255319149,20,0.9545901639344262,0.9230769230769231,0.5454545454545454,0.8275862068965517,0.6575342465753424,29,0.9496738117427772,0.916923076923077,0.7285714285714285,0.864406779661017,0.7906976744186046,59,0.9683955651841468,0.8492307692307692,0.6526315789473685,0.7948717948717948,0.7167630057803468,78,0.8973320876154884,0.8953846153846153,0.6730769230769231,0.6730769230769231,0.6730769230769231,52,0.8937728937728937,5,0.09656895279627421,0.21189927114617257,1,baseline,2026-08-30T22:02:50.987589
0.2,0.06769230769230769,0.32871794871794874,0.29853483178485113,0.6949685534591195,0.9910313901345291,0.8170055452865065,223,0.29452852153667053,0.8784722222222222,0.44115082824760243,0.3142243786512792,0.8658458160488228,0.45263593548070463,0.3231733735602942,0.8784722222222222,0.4624933070432933,0.849660977441676,0.8602148515844364,0.6892307692307692,0.2692307692307692,0.8536585365853658,0.4093567251461988,41,0.7960322913088286,0.7907692307692308,0.2619047619047619,0.7857142857142857,0.39285714285714285,28,0.858104858104858,0.8184615384615385,0.3707865168539326,0.9166666666666666,0.528,36,0.9539600153787005,0.8184615384615385,0.5098039215686274,0.8524590163934426,0.6380368098159509,61,0.9128166915052162,0.37846153846153846,0.27472527472527475,0.9493670886075949,0.42613636363636365,79,0.7563033858186683,0.5323076923076923,0.19889502762430938,0.8372093023255814,0.32142857142857145,43,0.8184067293419099,1,0.4036405985725337,0.33415843617348445,2,baseline,2026-08-30T22:13:08.823296
